Record,Date/Time,10,Tamb(C),Rh(%),Pres(hPa),Tir(¡æ),Rain,Vint(cm),Lqint(mm),CloudBase(km),0.000km,0.050km,0.100km,0.150km,0.200km,0.250km,0.300km,0.350km,0.400km,0.450km,0.500km,0.600km,0.700km,0.800km,0.900km,1.000km,1.100km,1.200km,1.300km,1.400km,1.500km,1.600km,1.700km,1.800km,1.900km,2.000km,2.250km,2.500km,2.750km,3.000km,3.250km,3.500km,3.750km,4.000km,4.250km,4.500km,4.750km,5.000km,5.250km,5.500km,5.750km,6.000km,6.250km,6.500km,6.750km,7.000km,7.250km,7.500km,7.750km,8.000km,8.250km,8.500km,8.750km,9.000km,9.250km,9.500km,9.750km,10.000km
858,2018-08-02 13:53:55,11,31.500,68.500,1000.500,25.4,0,4.394,0.172,0.832,31.500,30.990,30.584,30.156,29.687,29.323,29.015,28.690,28.238,27.849,27.353,26.817,26.167,25.610,24.956,24.320,23.514,22.781,22.048,21.517,20.913,20.264,19.588,19.004,18.531,17.762,16.667,15.355,14.099,12.928,11.732,10.571,9.320,7.915,6.486,4.985,3.597,2.223,0.913,-0.555,-1.964,-3.326,-4.715,-6.124,-7.523,-8.942,-10.140,-11.253,-12.392,-13.686,-15.104,-16.493,-17.798,-19.067,-20.390,-21.933,-23.640,-25.187
859,2018-08-02 13:53:55,12,31.500,68.500,1000.500,25.4,0,4.394,0.172,0.832,22.694,23.058,22.902,22.596,22.319,22.053,21.779,21.463,21.097,20.785,20.377,19.721,18.852,18.035,17.372,16.820,16.276,15.675,15.114,14.570,14.097,13.561,12.937,12.255,11.705,10.955,9.866,8.506,7.247,6.145,5.245,4.525,3.884,3.338,2.894,2.552,2.288,2.074,1.880,1.690,1.509,1.353,1.232,1.140,1.062,0.983,0.893,0.795,0.694,0.596,0.504,0.420,0.344,0.278,0.221,0.173,0.134,0.101
860,2018-08-02 13:53:55,13,31.500,68.500,1000.500,25.4,0,4.394,0.172,0.832,68.500,71.525,72.609,73.311,74.273,74.851,75.173,75.405,75.974,76.468,77.041,76.806,76.120,75.119,75.063,75.331,76.304,76.623,77.053,76.592,76.743,76.666,76.090,74.600,73.270,71.780,69.018,64.418,59.256,54.009,49.655,46.083,42.829,40.283,38.330,37.297,36.686,36.479,36.154,35.962,35.451,35.000,35.180,36.068,37.220,38.304,38.088,36.904,35.157,33.379,31.552,29.365,26.717,23.950,21.252,18.962,16.912,14.623
861,2018-08-02 13:53:55,14,31.500,68.500,1000.500,25.4,0,4.394,0.172,0.832,0.004,0.006,0.008,0.009,0.011,0.011,0.013,0.013,0.015,0.016,0.018,0.021,0.024,0.026,0.025,0.023,0.022,0.022,0.023,0.024,0.024,0.023,0.021,0.021,0.019,0.019,0.018,0.018,0.018,0.019,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.014,0.012,0.012,0.011,0.010,0.008,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
862,2018-08-02 13:57:48,11,31.000,69.100,1000.400,-3.74,0,4.387,0.148,6.037,31.000,30.611,30.272,29.893,29.488,29.180,28.914,28.628,28.250,27.933,27.509,27.052,26.481,25.997,25.430,24.850,24.109,23.459,22.815,22.283,21.684,21.044,20.393,19.804,19.294,18.468,17.290,15.919,14.580,13.304,11.974,10.721,9.377,7.914,6.442,4.915,3.451,2.046,0.745,-0.700,-2.131,-3.533,-4.935,-6.402,-7.862,-9.317,-10.492,-11.681,-12.912,-14.207,-15.654,-17.129,-18.557,-19.916,-21.366,-22.964,-24.692,-26.323
863,2018-08-02 13:57:48,12,31.000,69.100,1000.400,-3.74,0,4.387,0.148,6.037,22.287,22.599,22.431,22.131,21.860,21.596,21.324,21.011,20.648,20.333,19.919,19.254,18.373,17.540,16.863,16.289,15.735,15.134,14.576,14.034,13.563,13.024,12.411,11.748,11.224,10.506,9.449,8.134,6.918,5.876,5.018,4.332,3.717,3.188,2.760,2.431,2.182,1.981,1.797,1.618,1.446,1.297,1.180,1.091,1.015,0.938,0.852,0.757,0.661,0.570,0.484,0.406,0.334,0.270,0.215,0.168,0.130,0.098
864,2018-08-02 13:57:48,13,31.000,69.100,1000.400,-3.74,0,4.387,0.148,6.037,69.099,71.544,72.321,72.829,73.533,73.874,74.006,74.068,74.308,74.460,74.667,74.015,72.902,71.498,70.953,70.805,71.319,71.170,71.114,70.587,70.610,70.365,69.640,68.226,67.164,66.012,63.680,59.529,54.925,50.455,46.794,43.705,40.835,38.473,36.659,35.708,35.332,35.268,34.963,34.785,34.358,34.035,34.248,35.210,36.495,37.573,37.302,36.291,34.842,33.237,31.639,29.868,27.591,24.945,22.432,20.098,17.964,15.673
865,2018-08-02 13:57:48,14,31.000,69.100,1000.400,-3.74,0,4.387,0.148,6.037,0.004,0.006,0.007,0.008,0.010,0.010,0.012,0.012,0.014,0.015,0.017,0.019,0.022,0.023,0.022,0.020,0.020,0.020,0.020,0.021,0.021,0.021,0.019,0.019,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.015,0.014,0.015,0.015,0.015,0.015,0.014,0.014,0.014,0.014,0.012,0.011,0.011,0.010,0.009,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
866,2018-08-02 14:01:41,11,31.200,66.900,1000.400,-3.46,0,4.356,0.145,6.083,31.200,30.811,30.475,30.095,29.681,29.371,29.108,28.828,28.449,28.129,27.713,27.287,26.743,26.290,25.750,25.207,24.494,23.888,23.295,22.810,22.250,21.621,21.005,20.452,19.973,19.162,18.032,16.702,15.326,14.021,12.663,11.425,10.071,8.604,7.086,5.528,4.040,2.628,1.325,-0.124,-1.570,-2.992,-4.401,-5.826,-7.265,-8.700,-9.874,-11.029,-12.250,-13.536,-15.006,-16.491,-17.911,-19.263,-20.738,-22.373,-24.145,-25.795
867,2018-08-02 14:01:41,12,31.200,66.900,1000.400,-3.46,0,4.356,0.145,6.083,21.811,22.152,21.996,21.696,21.429,21.168,20.897,20.593,20.248,19.955,19.557,18.924,18.100,17.346,16.738,16.225,15.722,15.175,14.663,14.165,13.720,13.197,12.589,11.926,11.391,10.661,9.596,8.274,7.056,6.004,5.138,4.449,3.837,3.313,2.883,2.545,2.282,2.066,1.869,1.680,1.500,1.342,1.218,1.125,1.047,0.970,0.882,0.785,0.686,0.590,0.501,0.419,0.345,0.279,0.222,0.173,0.134,0.101
868,2018-08-02 14:01:41,13,31.200,66.900,1000.400,-3.46,0,4.356,0.145,6.083,66.901,69.381,70.146,70.624,71.335,71.661,71.764,71.805,72.081,72.293,72.490,71.811,70.782,69.560,69.176,69.125,69.726,69.646,69.602,69.128,69.140,68.956,68.167,66.690,65.506,64.293,61.870,57.760,53.530,49.327,45.901,42.943,40.336,38.249,36.712,35.892,35.516,35.350,34.955,34.710,34.271,33.894,34.023,34.820,36.027,37.109,36.860,35.812,34.365,32.651,31.117,29.289,27.045,24.431,21.982,19.686,17.668,15.426
869,2018-08-02 14:01:41,14,31.200,66.900,1000.400,-3.46,0,4.356,0.145,6.083,0.003,0.004,0.006,0.007,0.008,0.008,0.009,0.010,0.011,0.012,0.013,0.015,0.018,0.019,0.018,0.017,0.016,0.016,0.017,0.018,0.017,0.017,0.016,0.015,0.014,0.014,0.013,0.013,0.013,0.014,0.014,0.013,0.013,0.014,0.013,0.014,0.014,0.013,0.013,0.013,0.013,0.011,0.010,0.010,0.010,0.009,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
870,2018-08-02 14:05:34,11,31.100,68.600,1000.400,-2.69,0,4.404,0.153,5.888,31.100,30.556,30.140,29.702,29.223,28.858,28.548,28.221,27.763,27.380,26.877,26.340,25.688,25.156,24.515,23.893,23.092,22.394,21.697,21.192,20.620,19.980,19.332,18.763,18.304,17.557,16.511,15.261,13.997,12.855,11.677,10.568,9.323,7.939,6.511,5.015,3.604,2.236,0.941,-0.514,-1.930,-3.310,-4.711,-6.113,-7.510,-8.922,-10.111,-11.205,-12.342,-13.611,-15.046,-16.459,-17.770,-18.998,-20.308,-21.859,-23.585,-25.116
871,2018-08-02 14:05:34,12,31.100,68.600,1000.400,-2.69,0,4.404,0.153,5.888,22.245,22.575,22.412,22.111,21.840,21.577,21.304,20.991,20.634,20.323,19.912,19.253,18.388,17.578,16.921,16.365,15.822,15.233,14.685,14.155,13.691,13.163,12.560,11.908,11.388,10.676,9.633,8.334,7.131,6.085,5.216,4.516,3.888,3.348,2.906,2.564,2.299,2.082,1.885,1.693,1.511,1.354,1.231,1.136,1.057,0.975,0.884,0.785,0.685,0.588,0.499,0.416,0.342,0.276,0.220,0.172,0.133,0.100
872,2018-08-02 14:05:34,13,31.100,68.600,1000.400,-2.69,0,4.404,0.153,5.888,68.599,71.680,72.777,73.521,74.534,75.114,75.428,75.664,76.271,76.725,77.291,76.996,76.258,75.103,74.953,75.085,75.979,76.130,76.399,75.820,75.811,75.663,74.994,73.523,72.249,70.810,68.022,63.470,58.668,53.721,49.559,45.999,42.865,40.342,38.427,37.399,36.846,36.589,36.181,35.923,35.413,34.986,35.141,35.911,37.007,37.931,37.616,36.299,34.560,32.731,31.090,29.001,26.499,23.640,21.009,18.733,16.704,14.385
873,2018-08-02 14:05:34,14,31.100,68.600,1000.400,-2.69,0,4.404,0.153,5.888,0.004,0.005,0.007,0.008,0.009,0.010,0.011,0.012,0.013,0.014,0.016,0.018,0.021,0.022,0.021,0.019,0.019,0.019,0.019,0.020,0.020,0.020,0.018,0.018,0.016,0.016,0.015,0.015,0.015,0.016,0.015,0.014,0.014,0.015,0.015,0.015,0.015,0.014,0.014,0.014,0.014,0.012,0.011,0.011,0.010,0.009,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
874,2018-08-02 14:09:27,11,30.800,69.000,1000.400,-2.64,0,4.423,0.152,5.792,30.800,30.265,29.850,29.416,28.949,28.589,28.279,27.951,27.503,27.130,26.629,26.081,25.416,24.866,24.224,23.583,22.774,22.053,21.343,20.810,20.208,19.559,18.895,18.311,17.829,17.060,15.977,14.703,13.465,12.322,11.140,10.011,8.776,7.392,5.976,4.489,3.091,1.721,0.426,-1.012,-2.411,-3.783,-5.180,-6.624,-8.048,-9.480,-10.658,-11.793,-12.958,-14.249,-15.676,-17.091,-18.422,-19.688,-21.024,-22.568,-24.268,-25.812
875,2018-08-02 14:09:27,12,30.800,69.000,1000.400,-2.64,0,4.423,0.152,5.792,22.018,22.330,22.166,21.869,21.601,21.341,21.071,20.763,20.406,20.097,19.686,19.032,18.172,17.363,16.708,16.150,15.607,15.016,14.472,13.944,13.483,12.965,12.376,11.741,11.238,10.551,9.537,8.273,7.100,6.081,5.224,4.528,3.903,3.364,2.922,2.579,2.313,2.094,1.894,1.701,1.519,1.362,1.238,1.142,1.061,0.978,0.886,0.785,0.684,0.587,0.498,0.416,0.342,0.276,0.219,0.171,0.133,0.100
876,2018-08-02 14:09:27,13,30.800,69.000,1000.400,-2.64,0,4.423,0.152,5.792,69.000,72.025,73.115,73.853,74.825,75.391,75.713,75.959,76.518,76.925,77.470,77.216,76.517,75.406,75.235,75.418,76.320,76.534,76.845,76.363,76.478,76.386,75.822,74.458,73.338,72.093,69.550,65.188,60.363,55.491,51.333,47.784,44.559,41.991,40.011,38.962,38.361,38.118,37.671,37.374,36.811,36.381,36.567,37.485,38.666,39.684,39.262,37.980,36.203,34.358,32.626,30.522,27.952,25.031,22.207,19.781,17.722,15.293
877,2018-08-02 14:09:27,14,30.800,69.000,1000.400,-2.64,0,4.423,0.152,5.792,0.004,0.006,0.007,0.009,0.010,0.011,0.012,0.013,0.015,0.016,0.017,0.020,0.023,0.024,0.023,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.020,0.020,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.016,0.015,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.013,0.011,0.011,0.011,0.009,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
878,2018-08-02 14:13:20,11,30.700,69.900,1000.400,-2.65,0,4.459,0.148,5.826,30.700,30.125,29.691,29.239,28.757,28.384,28.064,27.726,27.261,26.877,26.363,25.798,25.121,24.571,23.926,23.291,22.490,21.776,21.066,20.553,19.976,19.341,18.691,18.117,17.654,16.916,15.880,14.641,13.420,12.312,11.169,10.079,8.869,7.508,6.102,4.626,3.240,1.886,0.592,-0.851,-2.239,-3.594,-4.991,-6.418,-7.819,-9.239,-10.418,-11.527,-12.664,-13.951,-15.377,-16.782,-18.086,-19.320,-20.628,-22.167,-23.878,-25.412
879,2018-08-02 14:13:20,12,30.700,69.900,1000.400,-2.65,0,4.459,0.148,5.826,22.186,22.496,22.331,22.033,21.765,21.504,21.232,20.920,20.562,20.246,19.829,19.166,18.294,17.467,16.796,16.222,15.662,15.056,14.498,13.957,13.489,12.971,12.388,11.760,11.265,10.588,9.587,8.338,7.176,6.160,5.300,4.596,3.961,3.412,2.964,2.615,2.345,2.124,1.920,1.724,1.539,1.380,1.254,1.157,1.074,0.988,0.894,0.791,0.688,0.590,0.500,0.417,0.342,0.276,0.219,0.171,0.133,0.100
880,2018-08-02 14:13:20,13,30.700,69.900,1000.400,-2.65,0,4.459,0.148,5.826,69.901,73.107,74.297,75.126,76.187,76.824,77.193,77.487,78.137,78.590,79.196,78.999,78.318,77.130,76.919,77.019,77.844,77.972,78.228,77.589,77.554,77.409,76.813,75.445,74.288,72.970,70.330,65.946,61.175,56.252,51.980,48.287,44.957,42.274,40.255,39.151,38.507,38.217,37.758,37.460,36.849,36.371,36.540,37.412,38.484,39.372,38.903,37.497,35.593,33.734,31.986,29.840,27.192,24.278,21.480,19.116,17.132,14.764
881,2018-08-02 14:13:20,14,30.700,69.900,1000.400,-2.65,0,4.459,0.148,5.826,0.004,0.006,0.008,0.009,0.010,0.011,0.012,0.013,0.015,0.016,0.018,0.020,0.023,0.024,0.023,0.021,0.021,0.021,0.021,0.022,0.022,0.021,0.020,0.019,0.017,0.018,0.016,0.017,0.016,0.017,0.016,0.015,0.015,0.016,0.015,0.015,0.015,0.015,0.015,0.014,0.014,0.012,0.011,0.011,0.010,0.009,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
882,2018-08-02 14:17:13,11,30.900,69.800,1000.400,-2.48,0,4.438,0.154,5.850,30.900,30.380,29.979,29.553,29.089,28.738,28.434,28.116,27.672,27.311,26.826,26.305,25.670,25.153,24.541,23.939,23.171,22.494,21.820,21.322,20.754,20.125,19.481,18.913,18.446,17.693,16.623,15.354,14.087,12.923,11.713,10.573,9.319,7.925,6.493,4.989,3.567,2.192,0.905,-0.533,-1.931,-3.302,-4.706,-6.136,-7.543,-8.965,-10.139,-11.256,-12.407,-13.690,-15.138,-16.567,-17.898,-19.150,-20.504,-22.072,-23.809,-25.368
883,2018-08-02 14:17:13,12,30.900,69.800,1000.400,-2.48,0,4.438,0.154,5.850,22.393,22.714,22.550,22.251,21.979,21.717,21.446,21.131,20.767,20.450,20.036,19.372,18.493,17.655,16.974,16.398,15.837,15.226,14.658,14.106,13.632,13.102,12.497,11.843,11.325,10.615,9.574,8.273,7.066,6.018,5.148,4.446,3.816,3.275,2.838,2.501,2.245,2.037,1.846,1.660,1.484,1.332,1.212,1.121,1.042,0.963,0.873,0.775,0.676,0.581,0.493,0.411,0.338,0.273,0.217,0.169,0.131,0.099
884,2018-08-02 14:17:13,13,30.900,69.800,1000.400,-2.48,0,4.438,0.154,5.850,69.800,72.808,73.865,74.587,75.557,76.098,76.406,76.609,77.147,77.498,77.991,77.621,76.769,75.446,75.079,75.041,75.709,75.664,75.717,74.994,74.900,74.679,73.970,72.479,71.249,69.840,67.154,62.654,57.817,52.902,48.798,45.277,42.087,39.503,37.565,36.550,36.063,35.897,35.532,35.284,34.776,34.391,34.608,35.491,36.600,37.579,37.220,35.971,34.271,32.537,30.936,28.897,26.458,23.674,21.060,18.736,16.768,14.557
885,2018-08-02 14:17:13,14,30.900,69.800,1000.400,-2.48,0,4.438,0.154,5.850,0.004,0.006,0.008,0.009,0.011,0.012,0.013,0.014,0.016,0.017,0.019,0.022,0.025,0.026,0.025,0.023,0.022,0.023,0.023,0.024,0.024,0.023,0.021,0.021,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.016,0.016,0.017,0.016,0.017,0.017,0.016,0.016,0.015,0.015,0.013,0.011,0.011,0.011,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
886,2018-08-02 14:21:06,11,30.900,69.400,1000.200,-2.66,0,4.421,0.145,5.866,30.900,30.548,30.224,29.858,29.474,29.179,28.924,28.649,28.296,27.996,27.599,27.165,26.617,26.144,25.605,25.051,24.341,23.714,23.095,22.573,21.975,21.342,20.695,20.104,19.583,18.743,17.543,16.154,14.799,13.486,12.116,10.833,9.468,7.991,6.515,4.983,3.519,2.117,0.826,-0.605,-2.015,-3.401,-4.792,-6.263,-7.728,-9.172,-10.332,-11.538,-12.789,-14.078,-15.511,-16.993,-18.446,-19.842,-21.335,-22.942,-24.660,-26.328
887,2018-08-02 14:21:06,12,30.900,69.400,1000.200,-2.66,0,4.421,0.145,5.866,22.265,22.593,22.433,22.135,21.866,21.604,21.334,21.023,20.667,20.357,19.949,19.296,18.434,17.616,16.949,16.384,15.834,15.238,14.680,14.137,13.666,13.138,12.533,11.878,11.356,10.640,9.591,8.284,7.072,6.020,5.147,4.445,3.817,3.279,2.842,2.505,2.248,2.040,1.850,1.664,1.488,1.334,1.214,1.122,1.045,0.965,0.876,0.778,0.679,0.583,0.495,0.413,0.339,0.274,0.217,0.170,0.132,0.099
888,2018-08-02 14:21:06,13,30.900,69.400,1000.200,-2.66,0,4.421,0.145,5.866,69.400,71.768,72.516,72.981,73.610,73.905,74.001,74.026,74.189,74.290,74.409,73.718,72.593,71.222,70.620,70.418,70.831,70.628,70.484,69.931,69.968,69.765,69.099,67.782,66.811,65.776,63.671,59.769,55.399,51.112,47.580,44.527,41.699,39.383,37.564,36.623,36.228,36.135,35.785,35.548,35.078,34.688,34.883,35.856,37.178,38.249,37.903,36.904,35.464,33.663,32.002,30.058,27.757,25.166,22.585,20.303,18.196,15.844
889,2018-08-02 14:21:06,14,30.900,69.400,1000.200,-2.66,0,4.421,0.145,5.866,0.004,0.006,0.007,0.009,0.010,0.011,0.012,0.013,0.014,0.015,0.017,0.020,0.023,0.024,0.023,0.021,0.020,0.020,0.021,0.022,0.021,0.021,0.019,0.019,0.017,0.017,0.016,0.016,0.016,0.017,0.016,0.015,0.015,0.016,0.015,0.015,0.015,0.015,0.014,0.014,0.014,0.012,0.011,0.011,0.010,0.009,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
890,2018-08-02 14:24:59,11,30.800,71.800,1000.400,18.82,0,4.426,0.157,1.780,30.800,30.304,29.916,29.500,29.053,28.717,28.421,28.104,27.671,27.327,26.850,26.324,25.684,25.152,24.526,23.905,23.125,22.428,21.725,21.197,20.599,19.963,19.293,18.701,18.205,17.432,16.315,15.004,13.745,12.582,11.361,10.187,8.923,7.525,6.117,4.621,3.196,1.820,0.546,-0.901,-2.294,-3.663,-5.060,-6.534,-7.955,-9.404,-10.580,-11.738,-12.911,-14.201,-15.634,-17.068,-18.429,-19.697,-21.050,-22.599,-24.314,-25.872
891,2018-08-02 14:24:59,12,30.800,71.800,1000.400,18.82,0,4.426,0.157,1.780,22.911,23.238,23.076,22.775,22.497,22.233,21.958,21.636,21.262,20.933,20.511,19.833,18.930,18.050,17.329,16.721,16.132,15.487,14.880,14.292,13.795,13.257,12.643,11.972,11.445,10.721,9.664,8.337,7.103,6.025,5.135,4.417,3.774,3.226,2.787,2.453,2.204,2.002,1.820,1.640,1.468,1.320,1.203,1.114,1.038,0.958,0.868,0.771,0.672,0.578,0.490,0.409,0.335,0.270,0.214,0.167,0.130,0.098
892,2018-08-02 14:24:59,13,30.800,71.800,1000.400,18.82,0,4.426,0.157,1.780,71.800,74.795,75.847,76.564,77.490,77.996,78.287,78.492,78.991,79.259,79.735,79.385,78.522,77.138,76.713,76.670,77.325,77.250,77.288,76.530,76.483,76.277,75.661,74.193,73.041,71.645,69.055,64.497,59.352,54.100,49.764,46.095,42.692,39.932,37.807,36.731,36.294,36.200,35.905,35.762,35.292,34.970,35.241,36.313,37.555,38.639,38.269,37.135,35.428,33.695,31.986,29.944,27.385,24.495,21.738,19.361,17.382,15.060
893,2018-08-02 14:24:59,14,30.800,71.800,1000.400,18.82,0,4.426,0.157,1.780,0.005,0.008,0.010,0.011,0.013,0.014,0.016,0.016,0.018,0.019,0.022,0.025,0.028,0.029,0.028,0.025,0.025,0.025,0.025,0.027,0.026,0.026,0.024,0.024,0.021,0.022,0.020,0.020,0.019,0.020,0.019,0.018,0.017,0.018,0.017,0.017,0.017,0.016,0.016,0.015,0.016,0.013,0.012,0.011,0.011,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
894,2018-08-02 14:28:52,11,30.700,68.800,1000.400,-3.39,0,4.407,0.146,5.962,30.700,30.304,29.952,29.568,29.167,28.849,28.575,28.286,27.915,27.595,27.174,26.707,26.132,25.640,25.086,24.511,23.781,23.130,22.495,21.966,21.368,20.731,20.087,19.496,18.987,18.162,16.992,15.631,14.310,13.040,11.729,10.490,9.163,7.711,6.244,4.731,3.298,1.904,0.593,-0.825,-2.223,-3.600,-4.991,-6.448,-7.915,-9.357,-10.522,-11.710,-12.940,-14.241,-15.676,-17.143,-18.559,-19.943,-21.413,-23.012,-24.716,-26.371
895,2018-08-02 14:28:52,12,30.700,68.800,1000.400,-3.39,0,4.407,0.146,5.962,21.836,22.140,21.975,21.679,21.415,21.155,20.887,20.581,20.230,19.923,19.515,18.865,18.012,17.213,16.565,16.010,15.471,14.889,14.353,13.830,13.374,12.857,12.269,11.638,11.139,10.455,9.445,8.186,7.020,6.012,5.165,4.477,3.859,3.326,2.891,2.551,2.287,2.072,1.875,1.684,1.504,1.347,1.225,1.130,1.050,0.967,0.876,0.777,0.677,0.582,0.494,0.413,0.340,0.275,0.218,0.171,0.132,0.100
896,2018-08-02 14:28:52,13,30.700,68.800,1000.400,-3.39,0,4.407,0.146,5.962,68.800,71.259,72.086,72.609,73.304,73.682,73.843,73.923,74.154,74.328,74.517,73.919,72.871,71.576,71.055,70.932,71.435,71.345,71.319,70.843,70.913,70.735,70.084,68.820,67.873,66.896,64.795,60.962,56.663,52.474,48.911,45.835,42.982,40.672,38.890,37.918,37.416,37.245,36.861,36.515,35.961,35.533,35.685,36.609,37.882,38.868,38.456,37.347,35.777,34.039,32.360,30.426,28.100,25.473,22.841,20.548,18.285,16.068
897,2018-08-02 14:28:52,14,30.700,68.800,1000.400,-3.39,0,4.407,0.146,5.962,0.004,0.005,0.007,0.008,0.010,0.010,0.011,0.012,0.014,0.015,0.016,0.019,0.022,0.023,0.022,0.020,0.020,0.020,0.020,0.021,0.021,0.020,0.018,0.018,0.017,0.017,0.015,0.016,0.016,0.016,0.016,0.015,0.014,0.015,0.015,0.015,0.015,0.014,0.014,0.014,0.014,0.012,0.011,0.011,0.010,0.009,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
898,2018-08-02 14:32:45,11,31.000,68.500,1000.400,-3.13,0,4.374,0.150,6.002,31.000,30.649,30.330,29.966,29.574,29.278,29.022,28.750,28.391,28.093,27.698,27.280,26.749,26.301,25.780,25.245,24.553,23.953,23.365,22.871,22.301,21.677,21.053,20.486,19.990,19.164,17.992,16.626,15.249,13.926,12.542,11.265,9.891,8.410,6.903,5.347,3.856,2.441,1.144,-0.289,-1.714,-3.121,-4.525,-5.981,-7.442,-8.887,-10.052,-11.236,-12.475,-13.768,-15.237,-16.737,-18.184,-19.567,-21.077,-22.714,-24.471,-26.148
899,2018-08-02 14:32:45,12,31.000,68.500,1000.400,-3.13,0,4.374,0.150,6.002,22.095,22.411,22.246,21.947,21.679,21.416,21.146,20.836,20.480,20.171,19.762,19.107,18.245,17.436,16.780,16.224,15.685,15.098,14.556,14.027,13.565,13.035,12.428,11.771,11.249,10.536,9.488,8.183,6.977,5.939,5.080,4.393,3.777,3.248,2.817,2.484,2.228,2.020,1.831,1.647,1.471,1.319,1.199,1.108,1.030,0.952,0.864,0.768,0.671,0.577,0.490,0.410,0.338,0.273,0.217,0.170,0.131,0.099
900,2018-08-02 14:32:45,13,31.000,68.500,1000.400,-3.13,0,4.374,0.150,6.002,68.501,70.804,71.501,71.939,72.585,72.869,72.958,72.964,73.136,73.220,73.310,72.533,71.324,69.880,69.234,68.974,69.329,69.040,68.821,68.217,68.160,67.890,67.108,65.694,64.626,63.534,61.322,57.390,53.176,49.076,45.732,42.828,40.158,37.964,36.309,35.446,35.114,35.014,34.666,34.414,33.944,33.614,33.788,34.678,35.903,36.926,36.589,35.586,34.194,32.508,30.988,29.224,27.085,24.506,22.099,19.910,17.760,15.593
901,2018-08-02 14:32:45,14,31.000,68.500,1000.400,-3.13,0,4.374,0.150,6.002,0.004,0.005,0.007,0.008,0.009,0.010,0.011,0.012,0.013,0.014,0.016,0.018,0.021,0.022,0.021,0.019,0.019,0.019,0.019,0.020,0.020,0.020,0.018,0.018,0.016,0.016,0.015,0.015,0.015,0.016,0.015,0.014,0.014,0.015,0.015,0.015,0.015,0.014,0.014,0.014,0.014,0.012,0.011,0.011,0.010,0.009,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
902,2018-08-02 14:36:38,11,31.000,68.000,1000.300,-3.08,0,4.391,0.140,5.869,31.000,30.414,29.974,29.519,29.026,28.649,28.327,27.985,27.506,27.106,26.572,25.997,25.298,24.725,24.046,23.377,22.527,21.776,21.035,20.501,19.897,19.237,18.568,17.992,17.521,16.766,15.721,14.484,13.269,12.166,11.028,9.944,8.742,7.380,5.966,4.483,3.099,1.742,0.448,-1.014,-2.426,-3.799,-5.197,-6.630,-8.034,-9.459,-10.645,-11.756,-12.903,-14.191,-15.608,-16.996,-18.298,-19.528,-20.813,-22.335,-24.035,-25.537
903,2018-08-02 14:36:38,12,31.000,68.000,1000.300,-3.08,0,4.391,0.140,5.869,21.933,22.266,22.107,21.810,21.544,21.284,21.016,20.711,20.362,20.063,19.663,19.024,18.185,17.406,16.774,16.237,15.715,15.147,14.617,14.101,13.647,13.125,12.523,11.870,11.347,10.632,9.583,8.279,7.074,6.030,5.164,4.470,3.849,3.317,2.883,2.544,2.281,2.066,1.872,1.682,1.503,1.346,1.223,1.129,1.051,0.971,0.882,0.784,0.684,0.588,0.499,0.417,0.343,0.277,0.220,0.172,0.133,0.100
904,2018-08-02 14:36:38,13,31.000,68.000,1000.300,-3.08,0,4.391,0.140,5.869,68.000,71.242,72.434,73.244,74.317,74.945,75.315,75.626,76.340,76.897,77.625,77.547,77.082,76.193,76.301,76.718,77.943,78.440,79.010,78.627,78.827,78.804,78.217,76.718,75.423,73.939,70.975,66.117,60.875,55.561,51.099,47.370,44.046,41.444,39.498,38.444,37.822,37.549,37.172,36.957,36.458,35.990,36.163,37.069,38.257,39.333,39.088,37.823,36.048,34.260,32.516,30.362,27.751,24.791,21.918,19.507,17.367,14.927
